wavelength_nm,angle=0|pol=p|R,angle=0|pol=s|R,angle=30|pol=p|R,angle=30|pol=s|R,angle=45|pol=p|R,angle=45|pol=s|R
486.75,0.00010564191736841695,0.00010564191736841695,0.0046944903134183156,0.0034547478086415892,0.00721675933674294,0.025240683741290175
487.0,9.377763968110913e-05,9.377763968110913e-05,0.004650653496020016,0.0035095780466465657,0.007057508225266592,0.025315407779778643
487.25,8.259023027848398e-05,8.259023027848398e-05,0.004607193549846725,0.0035653861028787067,0.006900067506917933,0.025388182344483746
487.5,7.210827132415295e-05,7.210827132415295e-05,0.0045641230894992455,0.0036221576679595167,0.006744447883859048,0.025458990535681174
487.75,6.23600190531088e-05,6.23600190531088e-05,0.0045214543703677515,0.003679878003223171,0.006590659608473768,0.025527816024914596
488.0,5.337338251054789e-05,5.337338251054789e-05,0.004479199290727229,0.003738531953383848,0.0064387124863688845,0.025594643055287258
488.25,4.517590312959634e-05,4.517590312959634e-05,0.004437369393951809,0.0037981039592274585,0.006288615879432381,0.02565945644156183
488.5,3.779473513510074e-05,3.779473513510074e-05,0.004395975870843322,0.0038585780703184604,0.006140378708946214,0.025722241570072697
488.75,3.125662676047089e-05,3.125662676047089e-05,0.004355029562070117,0.003919937957714125,0.005994009458752593,0.02578298439845849
489.0,2.558790226462116e-05,2.558790226462116e-05,0.004314540960712407,0.003982166926676963,0.005849516178472784,0.025841671455212527
489.25,2.0814444736326743e-05,2.0814444736326743e-05,0.004274520214909616,0.004045247929377925,0.005706906486776836,0.025898289839061648
489.5,1.696167967289181e-05,1.696167967289181e-05,0.00423497713060557,0.004109163577582603,0.0055661875747024395,0.025952827218172773
489.75,1.4054559320703913e-05,1.4054559320703913e-05,0.00419592117438779,0.004173896155312239,0.005427366209021427,0.02600527182919525
490.0,1.2117547764641948e-05,1.2117547764641948e-05,0.0041573614764171905,0.0042394276314724096,0.0052904487356543765,0.02605561247613677
490.25,1.125685885942922e-05,1.125685885942922e-05,0.004120985364128006,0.0043055757760017245,0.005158845929312493,0.026106334251708916
